i,k_lim,name
1,29,MSW pyrolysis to small olefins
2,52,Source Segregation
3,66,AI robot segregation
4,91,LABS from PE
5,113,Pyrolysis of LDPE
6,140,Pyrolysis of HDPE
7,165,Pyrolysis of PP
8,193,Recycling back to PLA usin Clay
9,215,Alkaline hydrolysis of PLA
10,241,Alcoholysis of PLA
