i,k_lim,name
1,27,LABS from PE
2,53,Pyrolysis of LDPE
3,80,Pyrolysis of HDPE
4,107,Pyrolysis of PP
5,133,Recycling back to PLA usin Clay
6,156,Alkaline hydrolysis of PLA
7,175,Alcoholysis of PLA
8,202,Bio-Ethanol
9,231,MSW pyrolysis to small olefins
10,254,Source Segregation
11,268,AI robot segregation
