Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12
0.0,3.984879123841834,1.999132211419115,2.981645160897424,2.981645160897424,3.0028654712514875,2.9977665172589654,3.996082782682155,1.998749236679633,2.002237664697972,2.002237664697972,3.999677787357172
1.25,3.434536141331651,1.6901075831421077,2.755009708062826,2.755009708062826,2.710090749298365,2.7747726426735184,3.59827445228912,1.9428917865943118,2.1204854304243494,2.1204854304243494,3.480872212996692
2.5,2.9779539840580624,1.50586854427236,2.5343640973459243,2.5343640973459243,2.5156647672989103,2.5660531654159895,3.22209285547989,1.8601524750107177,2.1468984074884028,2.1468984074884028,3.0733592087722905
3.75,2.600095414916239,1.3692181193389814,2.326292199470077,2.326292199470077,2.348196379771513,2.371492261233355,2.8771855174791616,1.7642523445961122,2.1011582021200232,2.1011582021200232,2.7481812693994816
5.0,2.2871058001683346,1.255435512671198,2.132703241373806,2.132703241373806,2.1941182407287405,2.1907220640628,2.5667357186971778,1.6631320732185435,2.0196419223516098,2.0196419223516098,2.48283871308126
6.25,2.0269609455563464,1.1558596628971087,1.9538483634673431,1.9538483634673431,2.0499101736613063,2.023227686629958,2.29042392592206,1.56154256959452,1.9217878760864466,1.9217878760864466,2.2611998794318495
7.5,1.8095760616451695,1.066882865645684,1.7893200654359211,1.7893200654359211,1.9148868673711408,1.8683881157592255,2.0461516216842375,1.4623118502693873,1.8181131881101051,1.8181131881101051,2.07209189055781
8.75,1.6266732620933957,0.9865949377654756,1.638418820705695,1.638418820705695,1.7888959516744694,1.7255082668624409,1.831029576783461,1.3670658225471857,1.7142963365500592,1.7142963365500592,1.9078246978162852
10.0,1.4715546368779933,0.9137374622283834,1.5003099474864376,1.5003099474864376,1.6717015310778114,1.593848768999024,1.6419310669294007,1.276671133290853,1.613338252164127,1.613338252164127,1.7630540098943646
11.25,1.3388533985796978,0.8473606377589297,1.3741031393324163,1.3741031393324163,1.5628988362664722,1.4726520773774023,1.4757895766893954,1.1915162797027214,1.516742090963576,1.516742090963576,1.6339934734900494
12.5,1.224297516070683,0.7866977028794255,1.2588983393698614,1.2588983393698614,1.4619655006909997,1.361163631976258,1.3297480037035305,1.111692228960653,1.4251717743657613,1.4251717743657613,1.517893361523988
13.75,1.1245004693470924,0.7311096836112532,1.1538139658925377,1.1538139658925377,1.3683264602113923,1.258647830974255,1.2012229290405558,1.0371088318258728,1.3388248989191078,1.3388248989191078,1.4127020977200329
