,Inn,C0R1,C1R1,C0R2,C1R2,C0R3,C1R3,C0R4,C1R4,C0R5,C1R5
1,1,2.017,0.276,2.45,0.123,1.105,0.192,-1.651,0.279,-5.834,0.379
2,2,3.02,0.034,2.64,0.056,1.852,0.086,0.664,0.119,-1.032,0.158
3,3,3.954,-0.109,3.004,0.028,1.529,0.116,-0.615,0.189,-3.957,0.271
4,4,2.077,0.08,1.472,0.111,0.358,0.15,-1.403,0.198,-3.68,0.25
5,5,4.007,-0.035,3.323,0.021,2.04,0.08,0.112,0.141,-2.635,0.206
