Column1,Column2,Column3,Column4,Column5,Column6
0.0,2.001923681652677,3.010337166095745,4.005544981110222,2.004382827631737,3.993696994763985
1.25,2.3933742477431803,3.067629243294089,3.8088035804089087,2.1648269817697936,3.9780174468520446
2.5,2.691672028478162,3.112895359790131,3.639357225816851,2.2956668324894753,3.9359681168445824
3.75,2.9104166198402805,3.1543084331188727,3.502666857355656,2.4082353295260215,3.8825085334547467
5.0,3.0870798528950183,3.193916303074311,3.3984602228404133,2.509533261031413,3.8265911113243947
6.25,3.2417837238619165,3.2327415399546013,3.3245245700280073,2.6041964061191374,3.7735400316486603
7.5,3.386017932984662,3.2715440038014694,3.278090870244803,2.6954065160909324,3.726487494647373
8.75,3.526607818665562,3.310952117585997,3.256364371989724,2.7853954161412395,3.6872418952747408
10.0,3.6677159699615465,3.3514992201635905,3.2567356032163532,2.875756906129658,3.6568133863288184
11.25,3.811935763809719,3.3936431618218323,3.276861899796832,2.96765097951371,3.6357326181177827
12.5,3.960921134715395,3.4377809732958347,3.3146914218794774,3.0619411112721604,3.6242444839189534
13.75,4.1157607594394685,3.484260759536227,3.368459583158149,3.1592877385622904,3.6224262174339654
15.0,4.277204248560573,3.533391493496518,3.436671857883285,3.2602123821852724,3.6302596248661994
16.25,4.445800129528419,3.585451108186709,3.5180802286840067,3.3651418719739623,3.6476754453268696
17.5,4.6219804170981975,3.640693192598106,3.6116573433167325,3.474439008340895,3.674580724899003
18.75,4.806112575381543,3.6993525402827494,3.7165707260459007,3.5884239397475675,3.710875800382822
20.0,4.998531494713989,3.7616497553074137,3.8321583733226587,3.707389164171038,3.7564648982041144
21.25,5.199559202316064,3.8277950843464934,3.9579064339993826,3.8316101377648373,3.811262787674682
22.5,5.409517045640543,3.8979916140691304,4.0934292786024695,3.9613528473877584,3.875198979465645
23.75,5.628733263411486,3.972437948558421,4.238452016222166,4.096879277954532,3.9482203849534594
25.0,5.85754773896667,4.051330461363382,4.392795370062516,4.238451415540974,4.030293002404214
26.25,6.096315040996488,4.134865200180452,4.556362740176883,4.3863342290972325,4.1214029827155585
27.5,6.3454064320604235,4.223239508474452,4.72912924188193,4.540797937975017,4.221557296871949
28.75,6.605211263579464,4.316653417069854,4.9111324954751545,4.70211977930966,4.330784146903461
30.0,6.876138014776709,4.415310849451418,5.102464946763252,4.8705854251072465,4.449133212324932
31.25,7.158615133737745,4.519420676861255,5.303267511523412,5.046490154506655,4.576675792874529
32.5,7.453091777640691,4.629197652980289,5.513724355710648,5.2301398558880425,4.713504888654859
33.75,7.760038511622418,4.744863252799044,5.734058643970199,5.421851912041574,4.85973524612147
35.0,8.079948002674078,4.866646436019971,5.964529109917315,5.621956006596997,5.0155033900927535
36.25,8.41333573082844,4.994784351829889,6.205427321574568,5.830794879365246,5.180967656438883
37.5,8.760740731279833,5.129522999003211,6.457075533686875,6.04872505079684,5.35630823634337
38.75,9.12272637584827,5.271117852934526,6.7198250350804285,6.276117530482664,5.541727240399598
40.0,9.49988119905693,5.419834469262309,6.994054913720926,6.513358520864132,5.737448788920478
41.25,9.892819772232437,5.575949072159058,7.280171174716304,6.760850124632486,5.943719133459813
42.5,10.302183627964656,5.739749134065502,7.5786061573316585,7.019011062369955,6.16080681351379
43.75,10.728642236671822,5.911533952586814,7.889818206308665,7.28827740559946,6.389002851590322
45.0,11.172894036719986,6.0916152294052095,8.214291560591027,7.569103329411585,6.628620989235789
46.25,11.635667519427868,6.280317655361228,8.552536429132646,7.861961888119577,6.879997966148322
47.5,12.117722370278063,6.477979505287274,8.905089228977387,8.167345816877818,7.143493844152581
48.75,12.619850667710672,6.684953245717951,9.27251296540434,8.485768361832687,7.419492377540382
50.0,13.142878140968714,6.901606158233323,9.65539773777004,8.817764141116944,7.7084014310783475
