,R0,R1,R2,R3,R4,R5
1,0.0,2.5,18.75,31.25,41.25,50.0
2,0.0,16.25,26.25,35.0,42.5,50.0
3,0.0,6.25,16.25,28.75,40.0,50.0
4,0.0,18.75,27.5,36.25,43.75,50.0
5,0.0,11.25,21.25,31.25,41.25,50.0
