,Inn,C0R1,C1R1,C0R2,C1R2,C0R3,C1R3,C0R4,C1R4,C0R5,C1R5
1,1,1.993,-0.172,1.548,-0.045,1.083,-0.004,0.428,0.024,-0.515,0.048
2,2,2.988,0.042,3.03,0.026,2.591,0.047,1.748,0.074,0.231,0.111
3,3,4.025,-0.143,3.517,-0.062,2.642,-0.007,1.378,0.04,-0.582,0.091
4,4,1.962,-0.006,1.564,0.041,0.946,0.073,-0.229,0.111,-2.139,0.157
5,5,3.99,0.003,3.627,0.029,2.798,0.064,1.268,0.109,-0.92,0.159
