,R0,R1,R2,R3,R4,R5
1,0.0,2.5,10.0,22.5,37.5,50.0
2,0.0,2.5,20.0,30.0,40.0,50.0
3,0.0,5.0,15.0,25.0,37.5,50.0
4,0.0,7.5,17.5,30.0,40.0,50.0
5,0.0,12.5,22.5,32.5,42.5,50.0
