0.1345,0.9048,1.0055,0.7609,0.5231,0.3848,0.2045,0.1165,0.0432,0.0345,0.0178,0.0039,0.0005,0.0026,0.0014,0.0018,0.0018,0.0007
0.2554,1.7569,1.3387,0.5723,0.3282,0.2322,0.1643,0.0946,0.0474,0.034,0.0261,0.0123,0.0023,0.0113,0.0057,0.0081,0.008,0.0037
0.1394,0.83,0.7151,0.4667,0.394,0.3224,0.251,0.1511,0.0835,0.0651,0.0487,0.0255,0.0056,0.0226,0.0109,0.0175,0.0169,0.0088
0.0319,0.3581,0.5294,0.57,0.506,0.3975,0.2835,0.1728,0.0698,0.0656,0.0386,0.0268,0.0056,0.0162,0.007,0.0145,0.0135,0.0088
0.1641,1.9541,1.7234,0.7787,0.3337,0.1915,0.1221,0.0677,0.021,0.0086,0.0109,0.0012,0.0002,0.001,0.0005,0.0008,0.0007,0.0004
0.0545,1.0388,1.5346,0.9687,0.4396,0.2401,0.1673,0.0911,0.0247,0.0048,0.0141,0.0016,0.0002,0.001,0.0005,0.0008,0.0007,0.0004
0.2154,1.7536,1.4541,0.6786,0.3597,0.242,0.1505,0.0847,0.0349,0.0241,0.0171,0.006,0.0009,0.0053,0.0027,0.0036,0.0036,0.0015
0.0456,0.3871,0.3959,0.3287,0.3413,0.3092,0.2989,0.176,0.1364,0.0861,0.0832,0.0312,0.0075,0.0403,0.0207,0.0281,0.0278,0.0117
0.125,1.0309,1.0042,0.5697,0.3376,0.2763,0.1917,0.1411,0.0582,0.0526,0.0461,0.0263,0.0093,0.0153,0.0045,0.0187,0.0163,0.0147
0.0724,0.7111,0.9348,0.8159,0.5777,0.345,0.2394,0.1322,0.0417,0.0155,0.0233,0.0051,0.0009,0.004,0.0019,0.003,0.0029,0.0015
0.1141,0.9267,0.8784,0.6544,0.4971,0.3735,0.223,0.1327,0.0504,0.0439,0.025,0.012,0.0026,0.0071,0.003,0.0065,0.006,0.004
0.1036,0.7146,0.8366,0.7407,0.5603,0.4447,0.2185,0.1257,0.0496,0.0455,0.018,0.0033,0.0002,0.0023,0.0013,0.0014,0.0014,0.0004
0.14,0.9696,0.8627,0.6311,0.5201,0.3578,0.2517,0.1331,0.049,0.0409,0.018,0.0138,0.0002,0.0087,0.0052,0.0044,0.0048,0.0004
0.1441,1.4753,1.7919,0.8442,0.2636,0.1891,0.1186,0.0642,0.0383,0.0272,0.0176,0.0054,0.0005,0.0078,0.0045,0.0042,0.0045,0.0007
0.3152,2.5893,1.6049,0.533,0.3053,0.2017,0.1172,0.066,0.0241,0.019,0.0104,0.0042,0.0005,0.0026,0.0014,0.0018,0.0018,0.0007
0.1343,0.7796,0.6779,0.4658,0.3662,0.3088,0.2244,0.1667,0.0781,0.0621,0.0628,0.031,0.0117,0.0214,0.007,0.0244,0.0216,0.0183
