Column1,Column2,Column3,Column4,Column5,Column6
0.0,1.9930401843780352,2.9876957501999435,4.038422362696626,1.9782947161585005,3.997615177433624
2.5,1.5634519962434916,3.093348823212358,3.6419491451051864,1.9299840826597707,3.997856345999402
5.0,1.3315225467648615,3.1673222175001463,3.3246322408164146,1.9104627904887586,3.9952167996741994
7.5,1.194760981734027,3.230097697860037,3.0748010170085793,1.9307123591876476,3.9978326173300074
10.0,1.107305620606807,3.2890679225472557,2.8779558207974385,1.985307795402853,4.009772621715146
12.5,1.050496060664673,3.349182535546692,2.725128820514041,2.067093241812731,4.033772501700752
15.0,1.0159148401479763,3.413933385712901,2.610807078129922,2.1708107597833246,4.072014637748036
17.5,0.9992571646371851,3.4858781475437115,2.5312915179027544,2.293361521382139,4.126378607100989
20.0,0.9980031277129197,3.5669852644661177,2.4838641460912356,2.4332797947395672,4.19855283621687
22.5,1.0105051583250466,3.6588634050644857,2.4664036556181883,2.5901899124737597,4.29010754736068
25.0,1.0356149570406752,3.762914739831879,2.4772153061806303,2.7644148538933044,4.402552659328646
27.5,1.072519790278137,3.8804380726484426,2.5149568311509936,2.9567297643020685,4.537386131058032
30.0,1.1206622811497007,4.012699092653075,2.578604807499444,3.1682183802274793,4.6961346598849305
32.5,1.1796952717869176,4.160979190042828,2.6674367661911,3.4001946740264786,4.880388165427661
35.0,1.2494528472000763,4.326610417459224,2.781018846441654,3.654163590073705,5.091829425973388
37.5,1.329929917703837,4.511001620526666,2.9191953343460835,3.931804582528166,5.332260118171022
40.0,1.4212671274492548,4.7156590693888,3.0820791727952765,4.234968367481067,5.603624337358005
42.5,1.5237395775298324,4.942203806536459,3.2700435463124378,4.565681452708709,5.908030492589857
45.0,1.637748555969904,5.192387191139712,3.483714918347791,4.926155449171807,6.2477723061713535
47.5,1.7638157762587399,5.468105637779208,3.723967886583978,5.318799560649821,6.6253495122837585
50.0,1.9025797790918395,5.771415232489445,3.9919221248489367,5.746235427516666,7.043488743378329
