Inn,C0R1,C1R1,C0R2,C1R2,C0R3,C1R3,C0R4,C1R4,C0R5,C1R5
1,1.9930401843780337,-0.1718352752538171,1.547521772272314,-0.044843385231611,1.0833607322775776,-0.003915740684572423,0.42842907107935185,0.023558936739643918,-0.5150325403654252,0.04810806008056309
2,2.9876957501999426,0.04226122920496585,3.029742541698317,0.026220221477584498,2.5907469121880213,0.047161215823293315,1.748337854751615,0.07393723364421424,0.23132542666407135,0.11053410897993808
3,4.025229643812849,-0.14275802437604249,3.517337151726209,-0.06179235267677469,2.6424294132417097,-0.0071875650255768106,1.378084158193751,0.040435641813295495,-0.5821529101042664,0.09094440977515444
4,1.9617037415862046,-0.0064907345233427595,1.5638100468456124,0.04111514783633807,0.9461495183231027,0.07345668091216534,-0.22856220205907327,0.11127848291272908,-2.139248193906743,0.1573722414360755
5,3.989690682108475,0.0025045858987275396,3.6269236886412832,0.029058118318152526,2.7980220997322736,0.06369020188495801,1.2679865940166495,0.1087986967614559,-0.9204359661884727,0.1591432874413955
